family,kernel_id,reduction_mode,lazy_reduction_mode,workload,domain,repetition,iterations,logical_units,actual_cu,cu_per_unit,elapsed_ns,ns_per_unit,proof_bytes,sha_calls,merkle_levels,m31_add_ops,m31_mul_ops,m31_square_ops,m31_inv_ops
experiment_a,direct_m31,direct_m31,none,mul,host,0,2048,2048,,,96250,46.9970703125,0,0,0,0,2048,0,0
experiment_a,direct_m31,direct_m31,none,mul,sbf,0,2048,2048,280263,136.84716796875,,,0,0,0,0,2048,0,0
experiment_a,direct_m31,direct_m31,none,mul,host,1,2048,2048,,,73792,36.03125,0,0,0,0,2048,0,0
experiment_a,direct_m31,direct_m31,none,mul,sbf,1,2048,2048,280263,136.84716796875,,,0,0,0,0,2048,0,0
experiment_a,direct_m31,direct_m31,none,mul,host,2,2048,2048,,,72375,35.33935546875,0,0,0,0,2048,0,0
experiment_a,direct_m31,direct_m31,none,mul,sbf,2,2048,2048,280263,136.84716796875,,,0,0,0,0,2048,0,0
experiment_a,direct_m31,direct_m31,none,square,host,0,2048,2048,,,72084,35.197265625,0,0,0,0,2048,2048,0
experiment_a,direct_m31,direct_m31,none,square,sbf,0,2048,2048,294931,144.00927734375,,,0,0,0,0,2048,2048,0
experiment_a,direct_m31,direct_m31,none,square,host,1,2048,2048,,,71791,35.05419921875,0,0,0,0,2048,2048,0
experiment_a,direct_m31,direct_m31,none,square,sbf,1,2048,2048,294931,144.00927734375,,,0,0,0,0,2048,2048,0
experiment_a,direct_m31,direct_m31,none,square,host,2,2048,2048,,,72291,35.29833984375,0,0,0,0,2048,2048,0
experiment_a,direct_m31,direct_m31,none,square,sbf,2,2048,2048,294931,144.00927734375,,,0,0,0,0,2048,2048,0
experiment_a,direct_m31,direct_m31,none,mul_add,host,0,2048,2048,,,85292,41.646484375,0,0,0,2048,2048,0,0
experiment_a,direct_m31,direct_m31,none,mul_add,sbf,0,2048,2048,328901,160.59619140625,,,0,0,0,2048,2048,0,0
experiment_a,direct_m31,direct_m31,none,mul_add,host,1,2048,2048,,,273208,133.40234375,0,0,0,2048,2048,0,0
experiment_a,direct_m31,direct_m31,none,mul_add,sbf,1,2048,2048,328901,160.59619140625,,,0,0,0,2048,2048,0,0
experiment_a,direct_m31,direct_m31,none,mul_add,host,2,2048,2048,,,323334,157.8779296875,0,0,0,2048,2048,0,0
experiment_a,direct_m31,direct_m31,none,mul_add,sbf,2,2048,2048,328901,160.59619140625,,,0,0,0,2048,2048,0,0
experiment_a,direct_m31,direct_m31,none,inner_product4,host,0,512,2048,,,34500,16.845703125,0,0,0,1536,2048,0,0
experiment_a,direct_m31,direct_m31,none,inner_product4,sbf,0,512,2048,80845,39.47509765625,,,0,0,0,1536,2048,0,0
experiment_a,direct_m31,direct_m31,none,inner_product4,host,1,512,2048,,,33958,16.5810546875,0,0,0,1536,2048,0,0
experiment_a,direct_m31,direct_m31,none,inner_product4,sbf,1,512,2048,80845,39.47509765625,,,0,0,0,1536,2048,0,0
experiment_a,direct_m31,direct_m31,none,inner_product4,host,2,512,2048,,,33625,16.41845703125,0,0,0,1536,2048,0,0
experiment_a,direct_m31,direct_m31,none,inner_product4,sbf,2,512,2048,80845,39.47509765625,,,0,0,0,1536,2048,0,0
experiment_a,direct_m31,direct_m31,none,horner4,host,0,512,2048,,,71750,35.0341796875,0,0,0,2048,2048,0,0
experiment_a,direct_m31,direct_m31,none,horner4,sbf,0,512,2048,124449,60.76611328125,,,0,0,0,2048,2048,0,0
experiment_a,direct_m31,direct_m31,none,horner4,host,1,512,2048,,,247583,120.89013671875,0,0,0,2048,2048,0,0
experiment_a,direct_m31,direct_m31,none,horner4,sbf,1,512,2048,124449,60.76611328125,,,0,0,0,2048,2048,0,0
experiment_a,direct_m31,direct_m31,none,horner4,host,2,512,2048,,,210958,103.0068359375,0,0,0,2048,2048,0,0
experiment_a,direct_m31,direct_m31,none,horner4,sbf,2,512,2048,124449,60.76611328125,,,0,0,0,2048,2048,0,0
experiment_a,direct_m31,direct_m31,none,denominator_chain4,host,0,512,2048,,,98417,48.05517578125,0,0,0,2048,2048,0,0
experiment_a,direct_m31,direct_m31,none,denominator_chain4,sbf,0,512,2048,118587,57.90380859375,,,0,0,0,2048,2048,0,0
experiment_a,direct_m31,direct_m31,none,denominator_chain4,host,1,512,2048,,,66750,32.5927734375,0,0,0,2048,2048,0,0
experiment_a,direct_m31,direct_m31,none,denominator_chain4,sbf,1,512,2048,118587,57.90380859375,,,0,0,0,2048,2048,0,0
experiment_a,direct_m31,direct_m31,none,denominator_chain4,host,2,512,2048,,,245000,119.62890625,0,0,0,2048,2048,0,0
experiment_a,direct_m31,direct_m31,none,denominator_chain4,sbf,2,512,2048,118587,57.90380859375,,,0,0,0,2048,2048,0,0
experiment_a,direct_m31,direct_m31,none,skeleton_fold_step,host,0,512,2048,,,54458,26.5908203125,0,0,0,4096,0,0,0
experiment_a,direct_m31,direct_m31,none,skeleton_fold_step,sbf,0,512,2048,154031,75.21044921875,,,0,0,0,4096,0,0,0
experiment_a,direct_m31,direct_m31,none,skeleton_fold_step,host,1,512,2048,,,142167,69.41748046875,0,0,0,4096,0,0,0
experiment_a,direct_m31,direct_m31,none,skeleton_fold_step,sbf,1,512,2048,154031,75.21044921875,,,0,0,0,4096,0,0,0
experiment_a,direct_m31,direct_m31,none,skeleton_fold_step,host,2,512,2048,,,57042,27.8525390625,0,0,0,4096,0,0,0
experiment_a,direct_m31,direct_m31,none,skeleton_fold_step,sbf,2,512,2048,154031,75.21044921875,,,0,0,0,4096,0,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,mul,host,0,2048,2048,,,72500,35.400390625,0,0,0,0,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,mul,sbf,0,2048,2048,280263,136.84716796875,,,0,0,0,0,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,mul,host,1,2048,2048,,,61375,29.96826171875,0,0,0,0,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,mul,sbf,1,2048,2048,280263,136.84716796875,,,0,0,0,0,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,mul,host,2,2048,2048,,,72625,35.46142578125,0,0,0,0,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,mul,sbf,2,2048,2048,280263,136.84716796875,,,0,0,0,0,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,square,host,0,2048,2048,,,63250,30.8837890625,0,0,0,0,2048,2048,0
experiment_a,direct_m31_lazy,direct_m31,batch4,square,sbf,0,2048,2048,294931,144.00927734375,,,0,0,0,0,2048,2048,0
experiment_a,direct_m31_lazy,direct_m31,batch4,square,host,1,2048,2048,,,63250,30.8837890625,0,0,0,0,2048,2048,0
experiment_a,direct_m31_lazy,direct_m31,batch4,square,sbf,1,2048,2048,294931,144.00927734375,,,0,0,0,0,2048,2048,0
experiment_a,direct_m31_lazy,direct_m31,batch4,square,host,2,2048,2048,,,64625,31.55517578125,0,0,0,0,2048,2048,0
experiment_a,direct_m31_lazy,direct_m31,batch4,square,sbf,2,2048,2048,294931,144.00927734375,,,0,0,0,0,2048,2048,0
experiment_a,direct_m31_lazy,direct_m31,batch4,mul_add,host,0,2048,2048,,,71875,35.09521484375,0,0,0,2048,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,mul_add,sbf,0,2048,2048,319672,156.08984375,,,0,0,0,2048,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,mul_add,host,1,2048,2048,,,68917,33.65087890625,0,0,0,2048,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,mul_add,sbf,1,2048,2048,319672,156.08984375,,,0,0,0,2048,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,mul_add,host,2,2048,2048,,,68333,33.36572265625,0,0,0,2048,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,mul_add,sbf,2,2048,2048,319672,156.08984375,,,0,0,0,2048,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,inner_product4,host,0,512,2048,,,32708,15.970703125,0,0,0,1536,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,inner_product4,sbf,0,512,2048,80845,39.47509765625,,,0,0,0,1536,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,inner_product4,host,1,512,2048,,,34833,17.00830078125,0,0,0,1536,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,inner_product4,sbf,1,512,2048,80845,39.47509765625,,,0,0,0,1536,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,inner_product4,host,2,512,2048,,,34042,16.6220703125,0,0,0,1536,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,inner_product4,sbf,2,512,2048,80845,39.47509765625,,,0,0,0,1536,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,horner4,host,0,512,2048,,,71667,34.99365234375,0,0,0,2048,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,horner4,sbf,0,512,2048,124449,60.76611328125,,,0,0,0,2048,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,horner4,host,1,512,2048,,,71583,34.95263671875,0,0,0,2048,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,horner4,sbf,1,512,2048,124449,60.76611328125,,,0,0,0,2048,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,horner4,host,2,512,2048,,,64084,31.291015625,0,0,0,2048,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,horner4,sbf,2,512,2048,124449,60.76611328125,,,0,0,0,2048,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,denominator_chain4,host,0,512,2048,,,62583,30.55810546875,0,0,0,2048,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,denominator_chain4,sbf,0,512,2048,118587,57.90380859375,,,0,0,0,2048,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,denominator_chain4,host,1,512,2048,,,60542,29.5615234375,0,0,0,2048,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,denominator_chain4,sbf,1,512,2048,118587,57.90380859375,,,0,0,0,2048,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,denominator_chain4,host,2,512,2048,,,165625,80.87158203125,0,0,0,2048,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,denominator_chain4,sbf,2,512,2048,118587,57.90380859375,,,0,0,0,2048,2048,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,skeleton_fold_step,host,0,512,2048,,,56791,27.72998046875,0,0,0,4096,0,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,skeleton_fold_step,sbf,0,512,2048,154031,75.21044921875,,,0,0,0,4096,0,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,skeleton_fold_step,host,1,512,2048,,,54708,26.712890625,0,0,0,4096,0,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,skeleton_fold_step,sbf,1,512,2048,154031,75.21044921875,,,0,0,0,4096,0,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,skeleton_fold_step,host,2,512,2048,,,51000,24.90234375,0,0,0,4096,0,0,0
experiment_a,direct_m31_lazy,direct_m31,batch4,skeleton_fold_step,sbf,2,512,2048,154031,75.21044921875,,,0,0,0,4096,0,0,0
experiment_a,montgomery_form,montgomery,none,mul,host,0,2048,2048,,,81583,39.83544921875,0,0,0,0,2048,0,0
experiment_a,montgomery_form,montgomery,none,mul,sbf,0,2048,2048,338409,165.23876953125,,,0,0,0,0,2048,0,0
experiment_a,montgomery_form,montgomery,none,mul,host,1,2048,2048,,,81459,39.77490234375,0,0,0,0,2048,0,0
experiment_a,montgomery_form,montgomery,none,mul,sbf,1,2048,2048,338409,165.23876953125,,,0,0,0,0,2048,0,0
experiment_a,montgomery_form,montgomery,none,mul,host,2,2048,2048,,,81083,39.59130859375,0,0,0,0,2048,0,0
experiment_a,montgomery_form,montgomery,none,mul,sbf,2,2048,2048,338409,165.23876953125,,,0,0,0,0,2048,0,0
experiment_a,montgomery_form,montgomery,none,square,host,0,2048,2048,,,86750,42.3583984375,0,0,0,0,2048,2048,0
experiment_a,montgomery_form,montgomery,none,square,sbf,0,2048,2048,343380,167.666015625,,,0,0,0,0,2048,2048,0
experiment_a,montgomery_form,montgomery,none,square,host,1,2048,2048,,,87000,42.48046875,0,0,0,0,2048,2048,0
experiment_a,montgomery_form,montgomery,none,square,sbf,1,2048,2048,343380,167.666015625,,,0,0,0,0,2048,2048,0
experiment_a,montgomery_form,montgomery,none,square,host,2,2048,2048,,,98834,48.2587890625,0,0,0,0,2048,2048,0
experiment_a,montgomery_form,montgomery,none,square,sbf,2,2048,2048,343380,167.666015625,,,0,0,0,0,2048,2048,0
experiment_a,montgomery_form,montgomery,none,mul_add,host,0,2048,2048,,,109750,53.5888671875,0,0,0,2048,2048,0,0
experiment_a,montgomery_form,montgomery,none,mul_add,sbf,0,2048,2048,390644,190.744140625,,,0,0,0,2048,2048,0,0
experiment_a,montgomery_form,montgomery,none,mul_add,host,1,2048,2048,,,103333,50.45556640625,0,0,0,2048,2048,0,0
experiment_a,montgomery_form,montgomery,none,mul_add,sbf,1,2048,2048,390644,190.744140625,,,0,0,0,2048,2048,0,0
experiment_a,montgomery_form,montgomery,none,mul_add,host,2,2048,2048,,,110834,54.1181640625,0,0,0,2048,2048,0,0
experiment_a,montgomery_form,montgomery,none,mul_add,sbf,2,2048,2048,390644,190.744140625,,,0,0,0,2048,2048,0,0
experiment_a,montgomery_form,montgomery,none,inner_product4,host,0,512,2048,,,33042,16.1337890625,0,0,0,1536,2048,0,0
experiment_a,montgomery_form,montgomery,none,inner_product4,sbf,0,512,2048,80334,39.2255859375,,,0,0,0,1536,2048,0,0
experiment_a,montgomery_form,montgomery,none,inner_product4,host,1,512,2048,,,34916,17.048828125,0,0,0,1536,2048,0,0
experiment_a,montgomery_form,montgomery,none,inner_product4,sbf,1,512,2048,80334,39.2255859375,,,0,0,0,1536,2048,0,0
experiment_a,montgomery_form,montgomery,none,inner_product4,host,2,512,2048,,,29125,14.22119140625,0,0,0,1536,2048,0,0
experiment_a,montgomery_form,montgomery,none,inner_product4,sbf,2,512,2048,80334,39.2255859375,,,0,0,0,1536,2048,0,0
experiment_a,montgomery_form,montgomery,none,horner4,host,0,512,2048,,,94750,46.2646484375,0,0,0,2048,2048,0,0
experiment_a,montgomery_form,montgomery,none,horner4,sbf,0,512,2048,146890,71.7236328125,,,0,0,0,2048,2048,0,0
experiment_a,montgomery_form,montgomery,none,horner4,host,1,512,2048,,,104125,50.84228515625,0,0,0,2048,2048,0,0
experiment_a,montgomery_form,montgomery,none,horner4,sbf,1,512,2048,146890,71.7236328125,,,0,0,0,2048,2048,0,0
experiment_a,montgomery_form,montgomery,none,horner4,host,2,512,2048,,,90625,44.25048828125,0,0,0,2048,2048,0,0
experiment_a,montgomery_form,montgomery,none,horner4,sbf,2,512,2048,146890,71.7236328125,,,0,0,0,2048,2048,0,0
experiment_a,montgomery_form,montgomery,none,denominator_chain4,host,0,512,2048,,,90459,44.16943359375,0,0,0,2048,2048,0,0
experiment_a,montgomery_form,montgomery,none,denominator_chain4,sbf,0,512,2048,171807,83.89013671875,,,0,0,0,2048,2048,0,0
experiment_a,montgomery_form,montgomery,none,denominator_chain4,host,1,512,2048,,,91208,44.53515625,0,0,0,2048,2048,0,0
experiment_a,montgomery_form,montgomery,none,denominator_chain4,sbf,1,512,2048,171807,83.89013671875,,,0,0,0,2048,2048,0,0
experiment_a,montgomery_form,montgomery,none,denominator_chain4,host,2,512,2048,,,87084,42.521484375,0,0,0,2048,2048,0,0
experiment_a,montgomery_form,montgomery,none,denominator_chain4,sbf,2,512,2048,171807,83.89013671875,,,0,0,0,2048,2048,0,0
experiment_a,montgomery_form,montgomery,none,skeleton_fold_step,host,0,512,2048,,,76000,37.109375,0,0,0,4096,0,0,0
experiment_a,montgomery_form,montgomery,none,skeleton_fold_step,sbf,0,512,2048,199320,97.32421875,,,0,0,0,4096,0,0,0
experiment_a,montgomery_form,montgomery,none,skeleton_fold_step,host,1,512,2048,,,77709,37.94384765625,0,0,0,4096,0,0,0
experiment_a,montgomery_form,montgomery,none,skeleton_fold_step,sbf,1,512,2048,199320,97.32421875,,,0,0,0,4096,0,0,0
experiment_a,montgomery_form,montgomery,none,skeleton_fold_step,host,2,512,2048,,,76459,37.33349609375,0,0,0,4096,0,0,0
experiment_a,montgomery_form,montgomery,none,skeleton_fold_step,sbf,2,512,2048,199320,97.32421875,,,0,0,0,4096,0,0,0
experiment_a,barrett_reduction,barrett,none,mul,host,0,2048,2048,,,68459,33.42724609375,0,0,0,0,2048,0,0
experiment_a,barrett_reduction,barrett,none,mul,sbf,0,2048,2048,447150,218.3349609375,,,0,0,0,0,2048,0,0
experiment_a,barrett_reduction,barrett,none,mul,host,1,2048,2048,,,69084,33.732421875,0,0,0,0,2048,0,0
experiment_a,barrett_reduction,barrett,none,mul,sbf,1,2048,2048,447150,218.3349609375,,,0,0,0,0,2048,0,0
experiment_a,barrett_reduction,barrett,none,mul,host,2,2048,2048,,,64250,31.3720703125,0,0,0,0,2048,0,0
experiment_a,barrett_reduction,barrett,none,mul,sbf,2,2048,2048,447150,218.3349609375,,,0,0,0,0,2048,0,0
experiment_a,barrett_reduction,barrett,none,square,host,0,2048,2048,,,71875,35.09521484375,0,0,0,0,2048,2048,0
experiment_a,barrett_reduction,barrett,none,square,sbf,0,2048,2048,465582,227.3349609375,,,0,0,0,0,2048,2048,0
experiment_a,barrett_reduction,barrett,none,square,host,1,2048,2048,,,62709,30.61962890625,0,0,0,0,2048,2048,0
experiment_a,barrett_reduction,barrett,none,square,sbf,1,2048,2048,465582,227.3349609375,,,0,0,0,0,2048,2048,0
experiment_a,barrett_reduction,barrett,none,square,host,2,2048,2048,,,62709,30.61962890625,0,0,0,0,2048,2048,0
experiment_a,barrett_reduction,barrett,none,square,sbf,2,2048,2048,465582,227.3349609375,,,0,0,0,0,2048,2048,0
experiment_a,barrett_reduction,barrett,none,mul_add,host,0,2048,2048,,,85250,41.6259765625,0,0,0,2048,2048,0,0
experiment_a,barrett_reduction,barrett,none,mul_add,sbf,0,2048,2048,499385,243.84033203125,,,0,0,0,2048,2048,0,0
experiment_a,barrett_reduction,barrett,none,mul_add,host,1,2048,2048,,,90666,44.2705078125,0,0,0,2048,2048,0,0
experiment_a,barrett_reduction,barrett,none,mul_add,sbf,1,2048,2048,499385,243.84033203125,,,0,0,0,2048,2048,0,0
experiment_a,barrett_reduction,barrett,none,mul_add,host,2,2048,2048,,,91708,44.779296875,0,0,0,2048,2048,0,0
experiment_a,barrett_reduction,barrett,none,mul_add,sbf,2,2048,2048,499385,243.84033203125,,,0,0,0,2048,2048,0,0
experiment_a,barrett_reduction,barrett,none,inner_product4,host,0,512,2048,,,34916,17.048828125,0,0,0,1536,2048,0,0
experiment_a,barrett_reduction,barrett,none,inner_product4,sbf,0,512,2048,120494,58.8349609375,,,0,0,0,1536,2048,0,0
experiment_a,barrett_reduction,barrett,none,inner_product4,host,1,512,2048,,,35125,17.15087890625,0,0,0,1536,2048,0,0
experiment_a,barrett_reduction,barrett,none,inner_product4,sbf,1,512,2048,120494,58.8349609375,,,0,0,0,1536,2048,0,0
experiment_a,barrett_reduction,barrett,none,inner_product4,host,2,512,2048,,,29375,14.34326171875,0,0,0,1536,2048,0,0
experiment_a,barrett_reduction,barrett,none,inner_product4,sbf,2,512,2048,120494,58.8349609375,,,0,0,0,1536,2048,0,0
experiment_a,barrett_reduction,barrett,none,horner4,host,0,512,2048,,,76375,37.29248046875,0,0,0,2048,2048,0,0
experiment_a,barrett_reduction,barrett,none,horner4,sbf,0,512,2048,239545,116.96533203125,,,0,0,0,2048,2048,0,0
experiment_a,barrett_reduction,barrett,none,horner4,host,1,512,2048,,,73500,35.888671875,0,0,0,2048,2048,0,0
experiment_a,barrett_reduction,barrett,none,horner4,sbf,1,512,2048,239545,116.96533203125,,,0,0,0,2048,2048,0,0
experiment_a,barrett_reduction,barrett,none,horner4,host,2,512,2048,,,74500,36.376953125,0,0,0,2048,2048,0,0
experiment_a,barrett_reduction,barrett,none,horner4,sbf,2,512,2048,239545,116.96533203125,,,0,0,0,2048,2048,0,0
experiment_a,barrett_reduction,barrett,none,denominator_chain4,host,0,512,2048,,,68792,33.58984375,0,0,0,2048,2048,0,0
experiment_a,barrett_reduction,barrett,none,denominator_chain4,sbf,0,512,2048,267438,130.5849609375,,,0,0,0,2048,2048,0,0
experiment_a,barrett_reduction,barrett,none,denominator_chain4,host,1,512,2048,,,69208,33.79296875,0,0,0,2048,2048,0,0
experiment_a,barrett_reduction,barrett,none,denominator_chain4,sbf,1,512,2048,267438,130.5849609375,,,0,0,0,2048,2048,0,0
experiment_a,barrett_reduction,barrett,none,denominator_chain4,host,2,512,2048,,,62791,30.65966796875,0,0,0,2048,2048,0,0
experiment_a,barrett_reduction,barrett,none,denominator_chain4,sbf,2,512,2048,267438,130.5849609375,,,0,0,0,2048,2048,0,0
experiment_a,barrett_reduction,barrett,none,skeleton_fold_step,host,0,512,2048,,,55041,26.87548828125,0,0,0,4096,0,0,0
experiment_a,barrett_reduction,barrett,none,skeleton_fold_step,sbf,0,512,2048,307154,149.9775390625,,,0,0,0,4096,0,0,0
experiment_a,barrett_reduction,barrett,none,skeleton_fold_step,host,1,512,2048,,,55291,26.99755859375,0,0,0,4096,0,0,0
experiment_a,barrett_reduction,barrett,none,skeleton_fold_step,sbf,1,512,2048,307154,149.9775390625,,,0,0,0,4096,0,0,0
experiment_a,barrett_reduction,barrett,none,skeleton_fold_step,host,2,512,2048,,,51625,25.20751953125,0,0,0,4096,0,0,0
experiment_a,barrett_reduction,barrett,none,skeleton_fold_step,sbf,2,512,2048,307154,149.9775390625,,,0,0,0,4096,0,0,0
