extension_kernel_id,workload,domain,repetition,iterations,logical_units,actual_cu,cu_per_unit,elapsed_ns,ns_per_unit,cm31_mul_ops,cm31_square_ops,cm31_inv_ops,qm31_mul_ops,qm31_square_ops,qm31_inv_ops
karatsuba,cm31_mul,sbf,1,512,512,592032,1156.3125,,,512,0,0,0,0,0
karatsuba,cm31_mul,host,2,512,512,,,311292,607.9921875,512,0,0,0,0,0
karatsuba,cm31_mul,sbf,2,512,512,592032,1156.3125,,,512,0,0,0,0,0
karatsuba,cm31_square,host,0,512,512,,,305750,597.16796875,0,512,0,0,0,0
karatsuba,cm31_square,sbf,0,512,512,570283,1113.833984375,,,0,512,0,0,0,0
karatsuba,cm31_square,host,1,512,512,,,310084,605.6328125,0,512,0,0,0,0
karatsuba,cm31_square,sbf,1,512,512,570283,1113.833984375,,,0,512,0,0,0,0
karatsuba,cm31_square,host,2,512,512,,,320083,625.162109375,0,512,0,0,0,0
karatsuba,cm31_square,sbf,2,512,512,570283,1113.833984375,,,0,512,0,0,0,0
karatsuba,cm31_mul_const,host,0,512,512,,,298833,583.658203125,0,0,0,0,0,0
karatsuba,cm31_mul_const,sbf,0,512,512,533404,1041.8046875,,,0,0,0,0,0,0
karatsuba,cm31_mul_const,host,1,512,512,,,293167,572.591796875,0,0,0,0,0,0
karatsuba,cm31_mul_const,sbf,1,512,512,533404,1041.8046875,,,0,0,0,0,0,0
karatsuba,cm31_mul_const,host,2,512,512,,,295208,576.578125,0,0,0,0,0,0
karatsuba,cm31_mul_const,sbf,2,512,512,533404,1041.8046875,,,0,0,0,0,0,0
karatsuba,cm31_inv,host,0,48,48,,,47083,980.8958333333334,0,0,48,0,0,0
karatsuba,cm31_inv,sbf,0,48,48,182360,3799.1666666666665,,,0,0,48,0,0,0
karatsuba,cm31_inv,host,1,48,48,,,54416,1133.6666666666667,0,0,48,0,0,0
karatsuba,cm31_inv,sbf,1,48,48,182360,3799.1666666666665,,,0,0,48,0,0,0
karatsuba,cm31_inv,host,2,48,48,,,52250,1088.5416666666667,0,0,48,0,0,0
karatsuba,cm31_inv,sbf,2,48,48,182360,3799.1666666666665,,,0,0,48,0,0,0
karatsuba,qm31_mul,host,0,256,256,,,202834,792.3203125,1024,0,0,256,0,0
karatsuba,qm31_mul,sbf,0,256,256,481988,1882.765625,,,1024,0,0,256,0,0
karatsuba,qm31_mul,host,1,256,256,,,205250,801.7578125,1024,0,0,256,0,0
karatsuba,qm31_mul,sbf,1,256,256,481988,1882.765625,,,1024,0,0,256,0,0
karatsuba,qm31_mul,host,2,256,256,,,214958,839.6796875,1024,0,0,256,0,0
karatsuba,qm31_mul,sbf,2,256,256,481988,1882.765625,,,1024,0,0,256,0,0
karatsuba,qm31_square,host,0,256,256,,,194625,760.25390625,512,512,0,0,256,0
karatsuba,qm31_square,sbf,0,256,256,442832,1729.8125,,,512,512,0,0,256,0
karatsuba,qm31_square,host,1,256,256,,,185167,723.30859375,512,512,0,0,256,0
karatsuba,qm31_square,sbf,1,256,256,442832,1729.8125,,,512,512,0,0,256,0
karatsuba,qm31_square,host,2,256,256,,,191709,748.86328125,512,512,0,0,256,0
karatsuba,qm31_square,sbf,2,256,256,442832,1729.8125,,,512,512,0,0,256,0
karatsuba,qm31_mul_const,host,0,256,256,,,162458,634.6015625,512,0,0,0,0,0
karatsuba,qm31_mul_const,sbf,0,256,256,349741,1366.17578125,,,512,0,0,0,0,0
karatsuba,qm31_mul_const,host,1,256,256,,,180500,705.078125,512,0,0,0,0,0
karatsuba,qm31_mul_const,sbf,1,256,256,349741,1366.17578125,,,512,0,0,0,0,0
karatsuba,qm31_mul_const,host,2,256,256,,,168583,658.52734375,512,0,0,0,0,0
