scenario_name,protocol_family,soundness_assumption,security_target_bits,cost_scenario_name,rate_parameter_name,log_rate,reciprocal_rate,grinding_bits,minimum_secure_query_count,total_explicit_query_count,chunk_size,proof_bytes,predicted_cu,lower_cu,upper_cu,verification_core_cu,transport_overhead_cu,cu_budget_fraction,proof_transport_pressure,assumption_qualified_feasible,assumption_feasibility_reasons,lower_bound_model_feasible,lower_bound_model_feasibility_reasons
qualified-circle-t100-r2-g8-fri_conjectured-fenzi_whir_core_0p8,Circle,fri_conjectured,100.0,fenzi_whir_core_0p8,log_blowup,1,2,8,92,92,640,22368,12045288.344801,11986266.949512,12104309.740091,12020706.384644,24581.960157,8.603777,18.155844,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g8-fri_conjectured-m31_mul_0p75,Circle,fri_conjectured,100.0,m31_mul_0p75,log_blowup,1,2,8,92,92,640,22368,9301889.294356,9242867.899066,9360910.689645,9277307.334199,24581.960157,6.644207,18.155844,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g8-fri_conjectured-fenzi_whir_core_0p8_plus_m31_mul_0p75,Circle,fri_conjectured,100.0,fenzi_whir_core_0p8_plus_m31_mul_0p75,log_blowup,1,2,8,92,92,640,22368,9301889.294356,9242867.899066,9360910.689645,9277307.334199,24581.960157,6.644207,18.155844,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g16-fri_proven-baseline,Circle,fri_proven,100.0,baseline,log_blowup,1,2,16,168,168,640,36960,20886266.784275,20827245.388985,20945288.179564,20846083.703109,40183.081166,14.918762,30.000000,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g16-fri_proven-fenzi_whir_core_0p8,Circle,fri_proven,100.0,fenzi_whir_core_0p8,log_blowup,1,2,16,168,168,640,36960,20886266.784275,20827245.388985,20945288.179564,20846083.703109,40183.081166,14.918762,30.000000,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g16-fri_proven-m31_mul_0p75,Circle,fri_proven,100.0,m31_mul_0p75,log_blowup,1,2,16,168,168,640,36960,16040528.863549,15981507.468260,16099550.258839,16000345.782384,40183.081166,11.457521,30.000000,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g16-fri_proven-fenzi_whir_core_0p8_plus_m31_mul_0p75,Circle,fri_proven,100.0,fenzi_whir_core_0p8_plus_m31_mul_0p75,log_blowup,1,2,16,168,168,640,36960,16040528.863549,15981507.468260,16099550.258839,16000345.782384,40183.081166,11.457521,30.000000,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g16-fri_conjectured-baseline,Circle,fri_conjectured,100.0,baseline,log_blowup,1,2,16,84,84,640,20832,11114732.755255,11055711.359966,11173754.150545,11091719.298490,23013.456765,7.939095,16.909091,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g16-fri_conjectured-fenzi_whir_core_0p8,Circle,fri_conjectured,100.0,fenzi_whir_core_0p8,log_blowup,1,2,16,84,84,640,20832,11114732.755255,11055711.359966,11173754.150545,11091719.298490,23013.456765,7.939095,16.909091,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g16-fri_conjectured-m31_mul_0p75,Circle,fri_conjectured,100.0,m31_mul_0p75,log_blowup,1,2,16,84,84,640,20832,8592632.533260,8533611.137971,8651653.928550,8569619.076495,23013.456765,6.137595,16.909091,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g16-fri_conjectured-fenzi_whir_core_0p8_plus_m31_mul_0p75,Circle,fri_conjectured,100.0,fenzi_whir_core_0p8_plus_m31_mul_0p75,log_blowup,1,2,16,84,84,640,20832,8592632.533260,8533611.137971,8651653.928550,8569619.076495,23013.456765,6.137595,16.909091,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g24-fri_proven-baseline,Circle,fri_proven,100.0,baseline,log_blowup,1,2,24,152,152,640,33888,19024980.520486,18965959.125197,19084001.915776,18988109.530801,36870.989685,13.589272,27.506494,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g24-fri_proven-fenzi_whir_core_0p8,Circle,fri_proven,100.0,fenzi_whir_core_0p8,log_blowup,1,2,24,152,152,640,33888,19024980.520486,18965959.125197,19084001.915776,18988109.530801,36870.989685,13.589272,27.506494,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g24-fri_proven-m31_mul_0p75,Circle,fri_proven,100.0,m31_mul_0p75,log_blowup,1,2,24,152,152,640,33888,14621840.256662,14562818.861372,14680861.651951,14584969.266976,36870.989685,10.444172,27.506494,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g24-fri_proven-fenzi_whir_core_0p8_plus_m31_mul_0p75,Circle,fri_proven,100.0,fenzi_whir_core_0p8_plus_m31_mul_0p75,log_blowup,1,2,24,152,152,640,33888,14621840.256662,14562818.861372,14680861.651951,14584969.266976,36870.989685,10.444172,27.506494,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g24-fri_conjectured-baseline,Circle,fri_conjectured,100.0,baseline,log_blowup,1,2,24,76,76,640,19296,10184177.165709,10125155.770420,10243198.560999,10162732.212336,21444.953373,7.274412,15.662338,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g24-fri_conjectured-fenzi_whir_core_0p8,Circle,fri_conjectured,100.0,fenzi_whir_core_0p8,log_blowup,1,2,24,76,76,640,19296,10184177.165709,10125155.770420,10243198.560999,10162732.212336,21444.953373,7.274412,15.662338,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g24-fri_conjectured-m31_mul_0p75,Circle,fri_conjectured,100.0,m31_mul_0p75,log_blowup,1,2,24,76,76,640,19296,7883375.772165,7824354.376875,7942397.167454,7861930.818791,21444.953373,5.630983,15.662338,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g24-fri_conjectured-fenzi_whir_core_0p8_plus_m31_mul_0p75,Circle,fri_conjectured,100.0,fenzi_whir_core_0p8_plus_m31_mul_0p75,log_blowup,1,2,24,76,76,640,19296,7883375.772165,7824354.376875,7942397.167454,7861930.818791,21444.953373,5.630983,15.662338,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g32-fri_proven-baseline,Circle,fri_proven,100.0,baseline,log_blowup,1,2,32,136,136,640,30816,17163869.341394,17104847.946105,17222890.736684,17130135.358492,33733.982902,12.259907,25.012987,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g32-fri_proven-fenzi_whir_core_0p8,Circle,fri_proven,100.0,fenzi_whir_core_0p8,log_blowup,1,2,32,136,136,640,30816,17163869.341394,17104847.946105,17222890.736684,17130135.358492,33733.982902,12.259907,25.012987,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g32-fri_proven-m31_mul_0p75,Circle,fri_proven,100.0,m31_mul_0p75,log_blowup,1,2,32,136,136,640,30816,13203326.734471,13144305.339181,13262348.129760,13169592.751569,33733.982902,9.430948,25.012987,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g32-fri_proven-fenzi_whir_core_0p8_plus_m31_mul_0p75,Circle,fri_proven,100.0,fenzi_whir_core_0p8_plus_m31_mul_0p75,log_blowup,1,2,32,136,136,640,30816,13203326.734471,13144305.339181,13262348.129760,13169592.751569,33733.982902,9.430948,25.012987,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g32-fri_conjectured-baseline,Circle,fri_conjectured,100.0,baseline,log_blowup,1,2,32,68,68,640,17760,9253446.491467,9194425.096177,9312467.886756,9233745.126182,19701.365285,6.609605,14.415584,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g32-fri_conjectured-fenzi_whir_core_0p8,Circle,fri_conjectured,100.0,fenzi_whir_core_0p8,log_blowup,1,2,32,68,68,640,17760,9253446.491467,9194425.096177,9312467.886756,9233745.126182,19701.365285,6.609605,14.415584,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g32-fri_conjectured-m31_mul_0p75,Circle,fri_conjectured,100.0,m31_mul_0p75,log_blowup,1,2,32,68,68,640,17760,7173943.926373,7114922.531083,7232965.321662,7154242.561088,19701.365285,5.124246,14.415584,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r2-g32-fri_conjectured-fenzi_whir_core_0p8_plus_m31_mul_0p75,Circle,fri_conjectured,100.0,fenzi_whir_core_0p8_plus_m31_mul_0p75,log_blowup,1,2,32,68,68,640,17760,7173943.926373,7114922.531083,7232965.321662,7154242.561088,19701.365285,5.124246,14.415584,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g0-fri_proven-baseline,Circle,fri_proven,100.0,baseline,log_blowup,2,4,0,100,100,640,27192,13061819.926415,13002798.531125,13120841.321704,13032010.958470,29808.967944,9.329871,22.071429,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g0-fri_proven-fenzi_whir_core_0p8,Circle,fri_proven,100.0,fenzi_whir_core_0p8,log_blowup,2,4,0,100,100,640,27192,13061819.926415,13002798.531125,13120841.321704,13032010.958470,29808.967944,9.329871,22.071429,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g0-fri_proven-m31_mul_0p75,Circle,fri_proven,100.0,m31_mul_0p75,log_blowup,2,4,0,100,100,640,27192,10097122.047519,10038100.652229,10156143.442808,10067313.079574,29808.967944,7.212230,22.071429,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g0-fri_proven-fenzi_whir_core_0p8_plus_m31_mul_0p75,Circle,fri_proven,100.0,fenzi_whir_core_0p8_plus_m31_mul_0p75,log_blowup,2,4,0,100,100,640,27192,10097122.047519,10038100.652229,10156143.442808,10067313.079574,29808.967944,7.212230,22.071429,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g0-fri_conjectured-baseline,Circle,fri_conjectured,100.0,baseline,log_blowup,2,4,0,50,50,640,15992,7202711.725489,7143690.330199,7261733.120778,7184937.967490,17773.757999,5.144794,12.980519,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g0-fri_conjectured-fenzi_whir_core_0p8,Circle,fri_conjectured,100.0,fenzi_whir_core_0p8,log_blowup,2,4,0,50,50,640,15992,7202711.725489,7143690.330199,7261733.120778,7184937.967490,17773.757999,5.144794,12.980519,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g0-fri_conjectured-m31_mul_0p75,Circle,fri_conjectured,100.0,m31_mul_0p75,log_blowup,2,4,0,50,50,640,15992,5621131.524409,5562110.129119,5680152.919698,5603357.766410,17773.757999,4.015094,12.980519,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g0-fri_conjectured-fenzi_whir_core_0p8_plus_m31_mul_0p75,Circle,fri_conjectured,100.0,fenzi_whir_core_0p8_plus_m31_mul_0p75,log_blowup,2,4,0,50,50,640,15992,5621131.524409,5562110.129119,5680152.919698,5603357.766410,17773.757999,4.015094,12.980519,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g8-fri_proven-baseline,Circle,fri_proven,100.0,baseline,log_blowup,2,4,8,92,92,640,25408,12124595.507379,12065574.112090,12183616.902669,12096726.837700,27868.669679,8.660425,20.623377,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g8-fri_proven-fenzi_whir_core_0p8,Circle,fri_proven,100.0,fenzi_whir_core_0p8,log_blowup,2,4,8,92,92,640,25408,12124595.507379,12065574.112090,12183616.902669,12096726.837700,27868.669679,8.660425,20.623377,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g8-fri_proven-m31_mul_0p75,Circle,fri_proven,100.0,m31_mul_0p75,log_blowup,2,4,8,92,92,640,25408,9381196.456934,9322175.061644,9440217.852223,9353327.787255,27868.669679,6.700855,20.623377,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g8-fri_proven-fenzi_whir_core_0p8_plus_m31_mul_0p75,Circle,fri_proven,100.0,fenzi_whir_core_0p8_plus_m31_mul_0p75,log_blowup,2,4,8,92,92,640,25408,9381196.456934,9322175.061644,9440217.852223,9353327.787255,27868.669679,6.700855,20.623377,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g8-fri_conjectured-baseline,Circle,fri_conjectured,100.0,baseline,log_blowup,2,4,8,46,46,640,15104,6734314.009958,6675292.614668,6793335.405247,6717419.685998,16894.323959,4.810224,12.259740,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
