variant,group,domain,stage,repetition,include_interpolants,trace_len,slot,proof_bytes,body_bytes,chat_msg_account_bytes,upload_chunk_size,upload_chunks,heap_frame_bytes_requested,fri_layers,configured_queries,actual_cu,elapsed_ns,transaction_bytes,error,seed_u64,inc_u64,digest_hex,proof_sha256_hex
trace64_q30_raw_rows,fold_experiment,sbf,write_chat_msg_total,0,false,64,10001,13354,13382,13554,640,21,0,1,30,54789,,,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,a3e93077e5c8d2b17e7c94461de927a9e6f000c996665022bba5e141b4f9baea
trace64_q30_raw_rows,fold_experiment,sbf,verify,0,false,64,10001,13354,13382,13554,0,0,262144,1,30,1400000,,258,"{""InstructionError"":[2,""ProgramFailedToComplete""]}",11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,a3e93077e5c8d2b17e7c94461de927a9e6f000c996665022bba5e141b4f9baea
trace64_q30_raw_rows,fold_experiment,sbf,pipeline_total,0,false,64,10001,13354,13382,13554,0,0,262144,1,30,1457359,,258,"{""InstructionError"":[2,""ProgramFailedToComplete""]}",11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,a3e93077e5c8d2b17e7c94461de927a9e6f000c996665022bba5e141b4f9baea
trace64_q30_raw_rows,fold_experiment,sbf,verify,1,false,64,10001,13354,13382,13554,0,0,262144,1,30,1400000,,258,"{""InstructionError"":[2,""ProgramFailedToComplete""]}",11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,a3e93077e5c8d2b17e7c94461de927a9e6f000c996665022bba5e141b4f9baea
trace64_q30_raw_rows,fold_experiment,sbf,pipeline_total,1,false,64,10001,13354,13382,13554,0,0,262144,1,30,1457359,,258,"{""InstructionError"":[2,""ProgramFailedToComplete""]}",11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,a3e93077e5c8d2b17e7c94461de927a9e6f000c996665022bba5e141b4f9baea
trace64_q30_raw_rows,fold_experiment,sbf,verify,2,false,64,10001,13354,13382,13554,0,0,262144,1,30,1400000,,258,"{""InstructionError"":[2,""ProgramFailedToComplete""]}",11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,a3e93077e5c8d2b17e7c94461de927a9e6f000c996665022bba5e141b4f9baea
trace64_q30_raw_rows,fold_experiment,sbf,pipeline_total,2,false,64,10001,13354,13382,13554,0,0,262144,1,30,1457359,,258,"{""InstructionError"":[2,""ProgramFailedToComplete""]}",11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,a3e93077e5c8d2b17e7c94461de927a9e6f000c996665022bba5e141b4f9baea
trace64_q30_raw_rows_plus_interpolants,fold_experiment,host,verify,0,true,64,10002,15210,15238,15410,0,0,262144,1,30,,3875125,,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,59ae5308ff4842ba38e57e0fbbd10b53fea26a74dc42d720d6a17b8b2bf8aa6e
trace64_q30_raw_rows_plus_interpolants,fold_experiment,host,verify,1,true,64,10002,15210,15238,15410,0,0,262144,1,30,,3768333,,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,59ae5308ff4842ba38e57e0fbbd10b53fea26a74dc42d720d6a17b8b2bf8aa6e
trace64_q30_raw_rows_plus_interpolants,fold_experiment,host,verify,2,true,64,10002,15210,15238,15410,0,0,262144,1,30,,3757084,,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,59ae5308ff4842ba38e57e0fbbd10b53fea26a74dc42d720d6a17b8b2bf8aa6e
trace64_q30_raw_rows_plus_interpolants,fold_experiment,sbf,init_chat_msg,0,true,64,10002,15210,15238,15410,640,0,0,1,30,2584,,315,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,59ae5308ff4842ba38e57e0fbbd10b53fea26a74dc42d720d6a17b8b2bf8aa6e
trace64_q30_raw_rows_plus_interpolants,fold_experiment,sbf,write_chat_msg_total,0,true,64,10002,15210,15238,15410,640,24,0,1,30,63120,,,,11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,59ae5308ff4842ba38e57e0fbbd10b53fea26a74dc42d720d6a17b8b2bf8aa6e
trace64_q30_raw_rows_plus_interpolants,fold_experiment,sbf,verify,0,true,64,10002,15210,15238,15410,0,0,262144,1,30,1400000,,258,"{""InstructionError"":[2,""ProgramFailedToComplete""]}",11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,59ae5308ff4842ba38e57e0fbbd10b53fea26a74dc42d720d6a17b8b2bf8aa6e
trace64_q30_raw_rows_plus_interpolants,fold_experiment,sbf,pipeline_total,0,true,64,10002,15210,15238,15410,0,0,262144,1,30,1465704,,258,"{""InstructionError"":[2,""ProgramFailedToComplete""]}",11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,59ae5308ff4842ba38e57e0fbbd10b53fea26a74dc42d720d6a17b8b2bf8aa6e
trace64_q30_raw_rows_plus_interpolants,fold_experiment,sbf,verify,1,true,64,10002,15210,15238,15410,0,0,262144,1,30,1400000,,258,"{""InstructionError"":[2,""ProgramFailedToComplete""]}",11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,59ae5308ff4842ba38e57e0fbbd10b53fea26a74dc42d720d6a17b8b2bf8aa6e
trace64_q30_raw_rows_plus_interpolants,fold_experiment,sbf,pipeline_total,1,true,64,10002,15210,15238,15410,0,0,262144,1,30,1465704,,258,"{""InstructionError"":[2,""ProgramFailedToComplete""]}",11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,59ae5308ff4842ba38e57e0fbbd10b53fea26a74dc42d720d6a17b8b2bf8aa6e
trace64_q30_raw_rows_plus_interpolants,fold_experiment,sbf,verify,2,true,64,10002,15210,15238,15410,0,0,262144,1,30,1400000,,258,"{""InstructionError"":[2,""ProgramFailedToComplete""]}",11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,59ae5308ff4842ba38e57e0fbbd10b53fea26a74dc42d720d6a17b8b2bf8aa6e
trace64_q30_raw_rows_plus_interpolants,fold_experiment,sbf,pipeline_total,2,true,64,10002,15210,15238,15410,0,0,262144,1,30,1465704,,258,"{""InstructionError"":[2,""ProgramFailedToComplete""]}",11675632538092054492,9214585662734519228,dc27f8e8ee2d08a2bccbb2dbd6c8e07ffba194101fc3458c34ded55f72c0971a,59ae5308ff4842ba38e57e0fbbd10b53fea26a74dc42d720d6a17b8b2bf8aa6e
